id,text_snippet,labels,cleaned_text,lemmatized_text,normalized_text
39,Our analytics enhanced CompetitorX and offers better pricing model options.,"Security, Competition, Objection",analytics outperforms CompetitorX offers better pricing model options .,analytics outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
40,Our AI enhanced outperforms CompetitorY and offers better pricing model options.,"Security, Objection",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
42,Our data enhanced outperforms CompetitorZ and offers better renewal cost options.,"Objection, Security",data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
43,Our AI enhanced outperforms CompetitorZ and offers better renewal cost options.,Security,AI engine outperforms CompetitorZ offers better renewal cost options .,AI engine outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
44,Our AI enhanced outperforms CompetitorY and offers better pricing model options.,"Competition, Security",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
46,Our AI enhanced outperforms CompetitorX and offers better budget options.,"Security, Pricing Discussion",AI engine outperforms CompetitorX offers better budget options .,AI engine outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
49,Our data enhanced outperforms CompetitorZ and offers better renewal cost options.,"Security, Competition, Objection",data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
52,Our analytics enhanced CompetitorX and offers better pricing model options.,"Objection, Security, Competition",analytics outperforms CompetitorX offers better pricing model options .,analytics outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
53,Our analytics enhanced CompetitorY and offers better budget options.,"Objection, Security, Pricing Discussion",analytics outperforms CompetitorY offers better budget options .,analytics outperforms CompetitorY offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
58,Our data enhanced outperforms CompetitorZ and offers better budget options.,Security,data pipeline outperforms CompetitorZ offers better budget options .,data pipeline outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
60,Our AI enhanced outperforms CompetitorX and offers better renewal cost options.,Security,AI engine outperforms CompetitorX offers better renewal cost options .,AI engine outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
64,Our analytics enhanced CompetitorZ and offers better discount options.,"Security, Objection",analytics outperforms CompetitorZ offers better discount options .,analytics outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
65,Our data enhanced outperforms CompetitorX and offers better budget options.,"Security, Objection, Competition",data pipeline outperforms CompetitorX offers better budget options .,data pipeline outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
71,Our data enhanced outperforms CompetitorZ and offers better pricing model options.,"Security, Objection",data pipeline outperforms CompetitorZ offers better pricing model options .,data pipeline outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
77,Our data enhanced outperforms CompetitorY and offers better budget options.,"Security, Pricing Discussion",data pipeline outperforms CompetitorY offers better budget options .,data pipeline outperforms CompetitorY offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
78,Our AI enhanced outperforms CompetitorY and offers better pricing model options.,"Objection, Security, Pricing Discussion",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
79,Our data enhanced outperforms CompetitorX and offers better renewal cost options.,"Pricing Discussion, Security, Objection",data pipeline outperforms CompetitorX offers better renewal cost options .,data pipeline outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
80,Our analytics enhanced CompetitorX and offers better renewal cost options.,Security,analytics outperforms CompetitorX offers better renewal cost options .,analytics outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
81,Our data enhanced outperforms CompetitorX and offers better budget options.,"Security, Pricing Discussion, Competition",data pipeline outperforms CompetitorX offers better budget options .,data pipeline outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
82,Our data enhanced outperforms CompetitorZ and offers better budget options.,"Competition, Objection, Security",data pipeline outperforms CompetitorZ offers better budget options .,data pipeline outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
84,Our AI enhanced outperforms CompetitorY and offers better pricing model options.,"Objection, Pricing Discussion, Security",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
88,Our analytics enhanced CompetitorX and offers better discount options.,"Pricing Discussion, Security, Objection",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
90,Our analytics enhanced CompetitorY and offers better renewal cost options.,"Competition, Security, Pricing Discussion",analytics outperforms CompetitorY offers better renewal cost options .,analytics outperforms CompetitorY offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
95,Our analytics enhanced CompetitorY and offers better discount options.,"Objection, Security, Pricing Discussion",analytics outperforms CompetitorY offers better discount options .,analytics outperforms CompetitorY offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
96,Our data enhanced outperforms CompetitorZ and offers better renewal cost options.,"Security, Pricing Discussion, Objection",data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
97,Our data enhanced outperforms CompetitorX and offers better renewal cost options.,Security,data pipeline outperforms CompetitorX offers better renewal cost options .,data pipeline outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
99,Our analytics enhanced CompetitorX and offers better renewal cost options.,"Competition, Pricing Discussion, Security",analytics outperforms CompetitorX offers better renewal cost options .,analytics outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
100,Our AI enhanced outperforms CompetitorY and offers better pricing model options.,Security,AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
